Team1,Team2,Rounds,Year_com,Day,Month,Year,Score1,Score2,Ranking T1,Score T1,Ranking T2,Score T2,Winner
Italy,Australia,Round of 16,2006-6-26,26,6,2006,1,0,13.0,728.0,42.0,612.0,1
Switzerland,Ukraine,Round of 16,2006-6-26,26,6,2006,0,0,35.0,648.0,45.0,609.0,0
Brazil,Ghana,Round of 16,2006-6-27,27,6,2006,3,0,1.0,827.0,48.0,600.0,1
Spain,France,Round of 16,2006-6-27,27,6,2006,1,3,5.0,756.0,8.0,749.0,2
Germany,Argentina,Quarter Finals,2006-6-30,30,6,2006,1,1,19.0,696.0,9.0,746.0,0
Italy,Ukraine,Quarter Finals,2006-6-30,30,6,2006,3,0,13.0,728.0,45.0,609.0,1
England,Portugal,Quarter Finals,2006-7-1,1,7,2006,0,0,10.0,741.0,7.0,750.0,0
Brazil,France,Quarter Finals,2006-7-1,1,7,2006,0,1,1.0,827.0,8.0,749.0,2
Germany,Italy,Semi Finals,2006-7-4,4,7,2006,0,2,19.0,696.0,13.0,728.0,2
Portugal,France,Semi Finals,2006-7-5,5,7,2006,0,1,7.0,750.0,8.0,749.0,2
Germany,Portugal,Play-off for third place,2006-7-8,8,7,2006,3,1,19.0,696.0,7.0,750.0,1
Italy,France,Finals,2006-7-9,9,7,2006,1,1,13.0,728.0,8.0,749.0,0
France,Senegal,Group Phase,2002-5-31,31,5,2002,0,1,1.0,802.0,42.0,599.0,2
Uruguay,Denmark,Group Phase,2002-6-1,1,6,2002,1,2,24.0,652.0,20.0,657.0,2
Republic of Ireland,Cameroon,Group Phase,2002-6-1,1,6,2002,1,1,15.0,674.0,17.0,672.0,0
Germany,Saudi Arabia,Group Phase,2002-6-1,1,6,2002,8,0,11.0,695.0,34.0,627.0,1
Argentina,Nigeria,Group Phase,2002-6-2,2,6,2002,1,0,3.0,784.0,27.0,644.0,1
Paraguay,South Africa,Group Phase,2002-6-2,2,6,2002,2,2,18.0,671.0,37.0,623.0,0
England,Sweden,Group Phase,2002-6-2,2,6,2002,1,1,12.0,694.0,19.0,665.0,0
Spain,Slovenia,Group Phase,2002-6-2,2,6,2002,3,1,8.0,713.0,25.0,649.0,1
Brazil,Turkey,Group Phase,2002-6-3,3,6,2002,2,1,2.0,784.0,22.0,654.0,1
Italy,Ecuador,Group Phase,2002-6-3,3,6,2002,2,0,6.0,717.0,36.0,624.0,1
Croatia,Mexico,Group Phase,2002-6-3,3,6,2002,0,1,21.0,655.0,7.0,716.0,2
China,Costa Rica,Group Phase,2002-6-4,4,6,2002,0,2,50.0,566.0,29.0,643.0,2
Japan,Belgium,Group Phase,2002-6-4,4,6,2002,2,2,32.0,634.0,23.0,653.0,0
Korea Republic,Poland,Group Phase,2002-6-4,4,6,2002,2,0,40.0,603.0,38.0,615.0,1
Russia,Tunisia,Group Phase,2002-6-5,5,6,2002,2,0,28.0,644.0,31.0,635.0,1
USA,Portugal,Group Phase,2002-6-5,5,6,2002,3,2,13.0,690.0,5.0,726.0,1
Germany,Republic of Ireland,Group Phase,2002-6-5,5,6,2002,1,1,11.0,695.0,15.0,674.0,0
Denmark,Senegal,Group Phase,2002-6-6,6,6,2002,1,1,20.0,657.0,42.0,599.0,0
Cameroon,Saudi Arabia,Group Phase,2002-6-6,6,6,2002,1,0,17.0,672.0,34.0,627.0,1
France,Uruguay,Group Phase,2002-6-6,6,6,2002,0,0,1.0,802.0,24.0,652.0,0
Sweden,Nigeria,Group Phase,2002-6-7,7,6,2002,2,1,19.0,665.0,27.0,644.0,1
Argentina,England,Group Phase,2002-6-7,7,6,2002,0,1,3.0,784.0,12.0,694.0,2
Spain,Paraguay,Group Phase,2002-6-7,7,6,2002,3,1,8.0,713.0,18.0,671.0,1
South Africa,Slovenia,Group Phase,2002-6-8,8,6,2002,1,0,37.0,623.0,25.0,649.0,1
Brazil,China,Group Phase,2002-6-8,8,6,2002,4,0,2.0,784.0,50.0,566.0,1
Italy,Croatia,Group Phase,2002-6-8,8,6,2002,1,2,6.0,717.0,21.0,655.0,2
Costa Rica,Turkey,Group Phase,2002-6-9,9,6,2002,1,1,29.0,643.0,22.0,654.0,0
Japan,Russia,Group Phase,2002-6-9,9,6,2002,1,0,32.0,634.0,28.0,644.0,1
Mexico,Ecuador,Group Phase,2002-6-9,9,6,2002,2,1,7.0,716.0,36.0,624.0,1
Korea Republic,USA,Group Phase,2002-6-10,10,6,2002,1,1,40.0,603.0,13.0,690.0,0
Portugal,Poland,Group Phase,2002-6-10,10,6,2002,4,0,5.0,726.0,38.0,615.0,1
Tunisia,Belgium,Group Phase,2002-6-10,10,6,2002,1,1,31.0,635.0,23.0,653.0,0
Denmark,France,Group Phase,2002-6-11,11,6,2002,2,0,20.0,657.0,1.0,802.0,1
Senegal,Uruguay,Group Phase,2002-6-11,11,6,2002,3,3,42.0,599.0,24.0,652.0,0
Saudi Arabia,Republic of Ireland,Group Phase,2002-6-11,11,6,2002,0,3,34.0,627.0,15.0,674.0,2
Cameroon,Germany,Group Phase,2002-6-11,11,6,2002,0,2,17.0,672.0,11.0,695.0,2
Sweden,Argentina,Group Phase,2002-6-12,12,6,2002,1,1,19.0,665.0,3.0,784.0,0
Nigeria,England,Group Phase,2002-6-12,12,6,2002,0,0,27.0,644.0,12.0,694.0,0
Slovenia,Paraguay,Group Phase,2002-6-12,12,6,2002,1,3,25.0,649.0,18.0,671.0,2
South Africa,Spain,Group Phase,2002-6-12,12,6,2002,2,3,37.0,623.0,8.0,713.0,2
Costa Rica,Brazil,Group Phase,2002-6-13,13,6,2002,2,5,29.0,643.0,2.0,784.0,2
Turkey,China,Group Phase,2002-6-13,13,6,2002,3,0,22.0,654.0,50.0,566.0,1
Ecuador,Croatia,Group Phase,2002-6-13,13,6,2002,1,0,36.0,624.0,21.0,655.0,1
Mexico,Italy,Group Phase,2002-6-13,13,6,2002,1,1,7.0,716.0,6.0,717.0,0
Tunisia,Japan,Group Phase,2002-6-14,14,6,2002,0,2,31.0,635.0,32.0,634.0,2
Portugal,Korea Republic,Group Phase,2002-6-14,14,6,2002,0,1,5.0,726.0,40.0,603.0,2
Poland,USA,Group Phase,2002-6-14,14,6,2002,3,1,38.0,615.0,13.0,690.0,1
Belgium,Russia,Group Phase,2002-6-14,14,6,2002,3,2,23.0,653.0,28.0,644.0,1
Denmark,England,Round of 16,2002-6-15,15,6,2002,0,3,20.0,657.0,12.0,694.0,2
Germany,Paraguay,Round of 16,2002-6-15,15,6,2002,1,0,11.0,695.0,18.0,671.0,1
Spain,Republic of Ireland,Round of 16,2002-6-16,16,6,2002,1,1,8.0,713.0,15.0,674.0,0
Sweden,Senegal,Round of 16,2002-6-16,16,6,2002,1,2,19.0,665.0,42.0,599.0,2
Brazil,Belgium,Round of 16,2002-6-17,17,6,2002,2,0,2.0,784.0,23.0,653.0,1
Mexico,USA,Round of 16,2002-6-17,17,6,2002,0,2,7.0,716.0,13.0,690.0,2
Japan,Turkey,Round of 16,2002-6-18,18,6,2002,0,1,32.0,634.0,22.0,654.0,2
Korea Republic,Italy,Round of 16,2002-6-18,18,6,2002,2,1,40.0,603.0,6.0,717.0,1
England,Brazil,Quarter Finals,2002-6-21,21,6,2002,1,2,12.0,694.0,2.0,784.0,2
Germany,USA,Quarter Finals,2002-6-21,21,6,2002,1,0,11.0,695.0,13.0,690.0,1
Senegal,Turkey,Quarter Finals,2002-6-22,22,6,2002,0,1,42.0,599.0,22.0,654.0,2
Spain,Korea Republic,Quarter Finals,2002-6-22,22,6,2002,0,0,8.0,713.0,40.0,603.0,0
Germany,Korea Republic,Semi Finals,2002-6-25,25,6,2002,1,0,11.0,695.0,40.0,603.0,1
Brazil,Turkey,Semi Finals,2002-6-26,26,6,2002,1,0,2.0,784.0,22.0,654.0,1
Korea Republic,Turkey,Play-off for third place,2002-6-29,29,6,2002,2,3,40.0,603.0,22.0,654.0,2
Germany,Brazil,Finals,2002-6-30,30,6,2002,0,2,11.0,695.0,2.0,784.0,2
Brazil,Scotland,Group Phase,1998-6-10,10,6,1998,2,1,1.0,71.0,41.0,48.0,1
Morocco,Norway,Group Phase,1998-6-10,10,6,1998,2,2,13.0,57.0,7.0,59.0,0
Italy,Chile,Group Phase,1998-6-11,11,6,1998,2,2,14.0,56.0,9.0,58.0,0
Cameroon,Austria,Group Phase,1998-6-11,11,6,1998,1,1,49.0,45.0,31.0,51.0,0
Paraguay,Bulgaria,Group Phase,1998-6-12,12,6,1998,0,0,29.0,52.0,35.0,50.0,0
Saudi Arabia,Denmark,Group Phase,1998-6-12,12,6,1998,0,1,34.0,50.0,27.0,52.0,2
France,South Africa,Group Phase,1998-6-12,12,6,1998,3,0,18.0,56.0,24.0,54.0,1
Spain,Nigeria,Group Phase,1998-6-13,13,6,1998,2,3,15.0,56.0,74.0,36.0,2
Korea Republic,Mexico,Group Phase,1998-6-13,13,6,1998,1,3,20.0,55.0,4.0,61.0,2
Netherlands,Belgium,Group Phase,1998-6-13,13,6,1998,0,0,25.0,54.0,36.0,50.0,0
Argentina,Japan,Group Phase,1998-6-14,14,6,1998,1,0,6.0,60.0,12.0,57.0,1
Yugoslavia,IR Iran,Group Phase,1998-6-14,14,6,1998,1,0,8.0,59.0,42.0,47.0,1
Jamaica,Croatia,Group Phase,1998-6-14,14,6,1998,1,3,30.0,52.0,19.0,55.0,2
England,Tunisia,Group Phase,1998-6-15,15,6,1998,2,0,5.0,60.0,21.0,55.0,1
Romania,Colombia,Group Phase,1998-6-15,15,6,1998,1,0,22.0,54.0,10.0,58.0,1
Germany,USA,Group Phase,1998-6-15,15,6,1998,2,0,2.0,64.0,11.0,58.0,1
Scotland,Norway,Group Phase,1998-6-16,16,6,1998,1,1,41.0,48.0,7.0,59.0,0
Brazil,Morocco,Group Phase,1998-6-16,16,6,1998,3,0,1.0,71.0,13.0,57.0,1
Chile,Austria,Group Phase,1998-6-17,17,6,1998,1,1,9.0,58.0,31.0,51.0,0
Italy,Cameroon,Group Phase,1998-6-17,17,6,1998,3,0,14.0,56.0,49.0,45.0,1
South Africa,Denmark,Group Phase,1998-6-18,18,6,1998,1,1,24.0,54.0,27.0,52.0,0
France,Saudi Arabia,Group Phase,1998-6-18,18,6,1998,4,0,18.0,56.0,34.0,50.0,1
Nigeria,Bulgaria,Group Phase,1998-6-19,19,6,1998,1,0,74.0,36.0,35.0,50.0,1
Spain,Paraguay,Group Phase,1998-6-19,19,6,1998,0,0,15.0,56.0,29.0,52.0,0
Japan,Croatia,Group Phase,1998-6-20,20,6,1998,0,1,12.0,57.0,19.0,55.0,2
Belgium,Mexico,Group Phase,1998-6-20,20,6,1998,2,2,36.0,50.0,4.0,61.0,0
Netherlands,Korea Republic,Group Phase,1998-6-20,20,6,1998,5,0,25.0,54.0,20.0,55.0,1
Germany,Yugoslavia,Group Phase,1998-6-21,21,6,1998,2,2,2.0,64.0,8.0,59.0,0
Argentina,Jamaica,Group Phase,1998-6-21,21,6,1998,5,0,6.0,60.0,30.0,52.0,1
USA,IR Iran,Group Phase,1998-6-21,21,6,1998,1,2,11.0,58.0,42.0,47.0,2
Colombia,Tunisia,Group Phase,1998-6-22,22,6,1998,1,0,10.0,58.0,21.0,55.0,1
Romania,England,Group Phase,1998-6-22,22,6,1998,2,1,22.0,54.0,5.0,60.0,1
Italy,Austria,Group Phase,1998-6-23,23,6,1998,2,1,14.0,56.0,31.0,51.0,1
Chile,Cameroon,Group Phase,1998-6-23,23,6,1998,1,1,9.0,58.0,49.0,45.0,0
Scotland,Morocco,Group Phase,1998-6-23,23,6,1998,0,3,41.0,48.0,13.0,57.0,2
Brazil,Norway,Group Phase,1998-6-23,23,6,1998,1,2,1.0,71.0,7.0,59.0,2
France,Denmark,Group Phase,1998-6-24,24,6,1998,2,1,18.0,56.0,27.0,52.0,1
South Africa,Saudi Arabia,Group Phase,1998-6-24,24,6,1998,2,2,24.0,54.0,34.0,50.0,0
Spain,Bulgaria,Group Phase,1998-6-24,24,6,1998,6,1,15.0,56.0,35.0,50.0,1
Nigeria,Paraguay,Group Phase,1998-6-24,24,6,1998,1,3,74.0,36.0,29.0,52.0,2
Belgium,Korea Republic,Group Phase,1998-6-25,25,6,1998,1,1,36.0,50.0,20.0,55.0,0
Netherlands,Mexico,Group Phase,1998-6-25,25,6,1998,2,2,25.0,54.0,4.0,61.0,0
Germany,IR Iran,Group Phase,1998-6-25,25,6,1998,2,0,2.0,64.0,42.0,47.0,1
USA,Yugoslavia,Group Phase,1998-6-25,25,6,1998,0,1,11.0,58.0,8.0,59.0,2
Japan,Jamaica,Group Phase,1998-6-26,26,6,1998,1,2,12.0,57.0,30.0,52.0,2
Argentina,Croatia,Group Phase,1998-6-26,26,6,1998,1,0,6.0,60.0,19.0,55.0,1
Romania,Tunisia,Group Phase,1998-6-26,26,6,1998,1,1,22.0,54.0,21.0,55.0,0
Colombia,England,Group Phase,1998-6-26,26,6,1998,0,2,10.0,58.0,5.0,60.0,2
Italy,Norway,Round of 16,1998-6-27,27,6,1998,1,0,14.0,56.0,7.0,59.0,1
Brazil,Chile,Round of 16,1998-6-27,27,6,1998,4,1,1.0,71.0,9.0,58.0,1
France,Paraguay,Round of 16,1998-6-28,28,6,1998,1,0,18.0,56.0,29.0,52.0,1
Nigeria,Denmark,Round of 16,1998-6-28,28,6,1998,1,4,74.0,36.0,27.0,52.0,2
Germany,Mexico,Round of 16,1998-6-29,29,6,1998,2,1,2.0,64.0,4.0,61.0,1
Netherlands,Yugoslavia,Round of 16,1998-6-29,29,6,1998,2,1,25.0,54.0,8.0,59.0,1
Romania,Croatia,Round of 16,1998-6-30,30,6,1998,0,1,22.0,54.0,19.0,55.0,2
Argentina,England,Round of 16,1998-6-30,30,6,1998,2,2,6.0,60.0,5.0,60.0,0
Italy,France,Quarter Finals,1998-7-3,3,7,1998,0,0,14.0,56.0,18.0,56.0,0
Brazil,Denmark,Quarter Finals,1998-7-3,3,7,1998,3,2,1.0,71.0,27.0,52.0,1
Netherlands,Argentina,Quarter Finals,1998-7-4,4,7,1998,2,1,25.0,54.0,6.0,60.0,1
Germany,Croatia,Quarter Finals,1998-7-4,4,7,1998,0,3,2.0,64.0,19.0,55.0,2
Brazil,Netherlands,Semi Finals,1998-7-7,7,7,1998,1,1,1.0,71.0,25.0,54.0,0
France,Croatia,Semi Finals,1998-7-8,8,7,1998,2,1,18.0,56.0,19.0,55.0,1
Netherlands,Croatia,Play-off for third place,1998-7-11,11,7,1998,1,2,25.0,54.0,19.0,55.0,2
Brazil,France,Finals,1998-7-12,12,7,1998,0,3,1.0,71.0,18.0,56.0,2
Spain,Korea Republic,Group Phase,1994-6-17,17,6,1994,2,2,5.0,55.0,37.0,37.0,0
Germany,Bolivia,Group Phase,1994-6-17,17,6,1994,1,0,1.0,59.0,43.0,35.0,1
USA,Switzerland,Group Phase,1994-6-18,18,6,1994,1,1,23.0,46.0,12.0,53.0,0
Italy,Republic of Ireland,Group Phase,1994-6-18,18,6,1994,0,1,4.0,56.0,14.0,52.0,2
Colombia,Romania,Group Phase,1994-6-18,18,6,1994,1,3,17.0,51.0,7.0,55.0,2
Belgium,Morocco,Group Phase,1994-6-19,19,6,1994,1,0,27.0,43.0,28.0,43.0,1
Norway,Mexico,Group Phase,1994-6-19,19,6,1994,1,0,6.0,55.0,16.0,51.0,1
Cameroon,Sweden,Group Phase,1994-6-19,19,6,1994,2,2,24.0,45.0,10.0,54.0,0
Netherlands,Saudi Arabia,Group Phase,1994-6-20,20,6,1994,2,1,2.0,59.0,34.0,39.0,1
Brazil,Russia,Group Phase,1994-6-20,20,6,1994,2,0,3.0,58.0,19.0,49.0,1
Argentina,Greece,Group Phase,1994-6-21,21,6,1994,4,0,8.0,55.0,31.0,41.0,1
Nigeria,Bulgaria,Group Phase,1994-6-21,21,6,1994,3,0,11.0,54.0,29.0,43.0,1
Germany,Spain,Group Phase,1994-6-21,21,6,1994,1,1,1.0,59.0,5.0,55.0,0
Romania,Switzerland,Group Phase,1994-6-22,22,6,1994,1,4,7.0,55.0,12.0,53.0,2
USA,Colombia,Group Phase,1994-6-22,22,6,1994,2,1,23.0,46.0,17.0,51.0,1
Italy,Norway,Group Phase,1994-6-23,23,6,1994,1,0,4.0,56.0,6.0,55.0,1
Korea Republic,Bolivia,Group Phase,1994-6-23,23,6,1994,0,0,37.0,37.0,43.0,35.0,0
Mexico,Republic of Ireland,Group Phase,1994-6-24,24,6,1994,2,1,16.0,51.0,14.0,52.0,1
Sweden,Russia,Group Phase,1994-6-24,24,6,1994,3,1,10.0,54.0,19.0,49.0,1
Brazil,Cameroon,Group Phase,1994-6-24,24,6,1994,3,0,3.0,58.0,24.0,45.0,1
Belgium,Netherlands,Group Phase,1994-6-25,25,6,1994,1,0,27.0,43.0,2.0,59.0,1
Saudi Arabia,Morocco,Group Phase,1994-6-25,25,6,1994,2,1,34.0,39.0,28.0,43.0,1
Argentina,Nigeria,Group Phase,1994-6-25,25,6,1994,2,1,8.0,55.0,11.0,54.0,1
Bulgaria,Greece,Group Phase,1994-6-26,26,6,1994,4,0,29.0,43.0,31.0,41.0,1
USA,Romania,Group Phase,1994-6-26,26,6,1994,0,1,23.0,46.0,7.0,55.0,2
Switzerland,Colombia,Group Phase,1994-6-26,26,6,1994,0,2,12.0,53.0,17.0,51.0,2
Germany,Korea Republic,Group Phase,1994-6-27,27,6,1994,3,2,1.0,59.0,37.0,37.0,1
Bolivia,Spain,Group Phase,1994-6-27,27,6,1994,1,3,43.0,35.0,5.0,55.0,2
Republic of Ireland,Norway,Group Phase,1994-6-28,28,6,1994,0,0,14.0,52.0,6.0,55.0,0
Brazil,Sweden,Group Phase,1994-6-28,28,6,1994,1,1,3.0,58.0,10.0,54.0,0
Italy,Mexico,Group Phase,1994-6-28,28,6,1994,1,1,4.0,56.0,16.0,51.0,0
Russia,Cameroon,Group Phase,1994-6-28,28,6,1994,6,1,19.0,49.0,24.0,45.0,1
Morocco,Netherlands,Group Phase,1994-6-29,29,6,1994,1,2,28.0,43.0,2.0,59.0,2
Belgium,Saudi Arabia,Group Phase,1994-6-29,29,6,1994,0,1,27.0,43.0,34.0,39.0,2
Greece,Nigeria,Group Phase,1994-6-30,30,6,1994,0,2,31.0,41.0,11.0,54.0,2
Argentina,Bulgaria,Group Phase,1994-6-30,30,6,1994,0,2,8.0,55.0,29.0,43.0,2
Germany,Belgium,Round of 16,1994-7-2,2,7,1994,3,2,1.0,59.0,27.0,43.0,1
Spain,Switzerland,Round of 16,1994-7-2,2,7,1994,3,0,5.0,55.0,12.0,53.0,1
Saudi Arabia,Sweden,Round of 16,1994-7-3,3,7,1994,1,3,34.0,39.0,10.0,54.0,2
Romania,Argentina,Round of 16,1994-7-3,3,7,1994,3,2,7.0,55.0,8.0,55.0,1
Netherlands,Republic of Ireland,Round of 16,1994-7-4,4,7,1994,2,0,2.0,59.0,14.0,52.0,1
Brazil,USA,Round of 16,1994-7-4,4,7,1994,1,0,3.0,58.0,23.0,46.0,1
Nigeria,Italy,Round of 16,1994-7-5,5,7,1994,1,2,11.0,54.0,4.0,56.0,2
Mexico,Bulgaria,Round of 16,1994-7-5,5,7,1994,1,1,16.0,51.0,29.0,43.0,0
Italy,Spain,Quarter Finals,1994-7-9,9,7,1994,2,1,4.0,56.0,5.0,55.0,1
Netherlands,Brazil,Quarter Finals,1994-7-9,9,7,1994,2,3,2.0,59.0,3.0,58.0,2
Bulgaria,Germany,Quarter Finals,1994-7-10,10,7,1994,2,1,29.0,43.0,1.0,59.0,1
Romania,Sweden,Quarter Finals,1994-7-10,10,7,1994,2,2,7.0,55.0,10.0,54.0,0
Bulgaria,Italy,Semi Finals,1994-7-13,13,7,1994,1,2,29.0,43.0,4.0,56.0,2
Sweden,Brazil,Semi Finals,1994-7-13,13,7,1994,0,1,10.0,54.0,3.0,58.0,2
Sweden,Bulgaria,Play-off for third place,1994-7-16,16,7,1994,4,0,10.0,54.0,29.0,43.0,1
Brazil,Italy,Finals,1994-7-17,17,7,1994,0,0,3.0,58.0,4.0,56.0,0
Spain,Korea Republic,Group Phase,1990-6-8,8,6,1990,0,1,0.0,0.0,0.0,0.0,2
Soviet Union,Romania,Group Phase,1990-6-9,9,6,1990,0,2,0.0,0.0,0.0,0.0,2
United Arab Emirates,Colombia,Group Phase,1990-6-9,9,6,1990,0,2,0.0,0.0,0.0,0.0,2
Italy,Republic of Ireland,Group Phase,1990-6-9,9,6,1990,1,0,0.0,0.0,0.0,0.0,1
USA,Czechoslovakia,Group Phase,1990-6-10,10,6,1990,1,5,0.0,0.0,0.0,0.0,2
Brazil,Sweden,Group Phase,1990-6-10,10,6,1990,2,1,0.0,0.0,0.0,0.0,1
Germany,Yugoslavia,Group Phase,1990-6-10,10,6,1990,4,1,0.0,0.0,0.0,0.0,1
Costa Rica,Scotland,Group Phase,1990-6-11,11,6,1990,1,0,0.0,0.0,0.0,0.0,1
Netherlands,Saudi Arabia,Group Phase,1990-6-11,11,6,1990,1,1,0.0,0.0,0.0,0.0,0
Belgium,Korea Republic,Group Phase,1990-6-12,12,6,1990,2,0,0.0,0.0,0.0,0.0,1
Netherlands,Egypt,Group Phase,1990-6-12,12,6,1990,1,1,0.0,0.0,0.0,0.0,0
Uruguay,Spain,Group Phase,1990-6-13,13,6,1990,0,0,0.0,0.0,0.0,0.0,0
Argentina,Soviet Union,Group Phase,1990-6-13,13,6,1990,2,0,0.0,0.0,0.0,0.0,1
Cameroon,Romania,Group Phase,1990-6-14,14,6,1990,2,1,0.0,0.0,0.0,0.0,1
Yugoslavia,Colombia,Group Phase,1990-6-14,14,6,1990,1,0,0.0,0.0,0.0,0.0,1
Italy,USA,Group Phase,1990-6-14,14,6,1990,1,0,0.0,0.0,0.0,0.0,1
Korea Republic,Bolivia,Group Phase,1990-6-15,15,6,1990,0,1,0.0,0.0,0.0,0.0,2
Mexico,Republic of Ireland,Group Phase,1990-6-15,15,6,1990,5,1,0.0,0.0,0.0,0.0,1
Brazil,Costa Rica,Group Phase,1990-6-16,16,6,1990,1,0,0.0,0.0,0.0,0.0,1
Sweden,Scotland,Group Phase,1990-6-16,16,6,1990,1,2,0.0,0.0,0.0,0.0,2
England,Netherlands,Group Phase,1990-6-16,16,6,1990,0,0,0.0,0.0,0.0,0.0,0
Saudi Arabia,Morocco,Group Phase,1990-6-17,17,6,1990,0,0,0.0,0.0,0.0,0.0,0
Korea Republic,Spain,Group Phase,1990-6-17,17,6,1990,1,3,0.0,0.0,0.0,0.0,2
Belgium,Uruguay,Group Phase,1990-6-17,17,6,1990,3,1,0.0,0.0,0.0,0.0,1
Argentina,Romania,Group Phase,1990-6-18,18,6,1990,1,1,0.0,0.0,0.0,0.0,0
Cameroon,Soviet Union,Group Phase,1990-6-18,18,6,1990,0,4,0.0,0.0,0.0,0.0,2
Germany,Korea Republic,Group Phase,1990-6-19,19,6,1990,1,1,0.0,0.0,0.0,0.0,0
Yugoslavia,United Arab Emirates,Group Phase,1990-6-19,19,6,1990,4,1,0.0,0.0,0.0,0.0,1
Republic of Ireland,Norway,Group Phase,1990-6-19,19,6,1990,2,0,0.0,0.0,0.0,0.0,1
Austria,USA,Group Phase,1990-6-19,19,6,1990,2,1,0.0,0.0,0.0,0.0,1
Brazil,Scotland,Group Phase,1990-6-20,20,6,1990,1,0,0.0,0.0,0.0,0.0,1
Sweden,Costa Rica,Group Phase,1990-6-20,20,6,1990,1,2,0.0,0.0,0.0,0.0,2
Korea Republic,Uruguay,Group Phase,1990-6-21,21,6,1990,0,1,0.0,0.0,0.0,0.0,2
Belgium,Saudi Arabia,Group Phase,1990-6-21,21,6,1990,1,2,0.0,0.0,0.0,0.0,2
Republic of Ireland,Netherlands,Group Phase,1990-6-21,21,6,1990,1,1,0.0,0.0,0.0,0.0,0
England,Egypt,Group Phase,1990-6-21,21,6,1990,1,0,0.0,0.0,0.0,0.0,1
Cameroon,Colombia,Round of 16,1990-6-23,23,6,1990,2,1,0.0,0.0,0.0,0.0,1
Czechoslovakia,Costa Rica,Round of 16,1990-6-23,23,6,1990,4,1,0.0,0.0,0.0,0.0,1
Saudi Arabia,Sweden,Round of 16,1990-6-24,24,6,1990,0,1,0.0,0.0,0.0,0.0,2
Germany,Netherlands,Round of 16,1990-6-24,24,6,1990,2,1,0.0,0.0,0.0,0.0,1
Netherlands,Republic of Ireland,Round of 16,1990-6-25,25,6,1990,0,0,0.0,0.0,0.0,0.0,0
Italy,Uruguay,Round of 16,1990-6-25,25,6,1990,2,0,0.0,0.0,0.0,0.0,1
Spain,Yugoslavia,Round of 16,1990-6-26,26,6,1990,1,2,0.0,0.0,0.0,0.0,2
England,Belgium,Round of 16,1990-6-26,26,6,1990,1,0,0.0,0.0,0.0,0.0,1
Yugoslavia,Argentina,Quarter Finals,1990-6-30,30,6,1990,0,0,0.0,0.0,0.0,0.0,0
Italy,Republic of Ireland,Quarter Finals,1990-6-30,30,6,1990,1,0,0.0,0.0,0.0,0.0,1
Germany,Czechoslovakia,Quarter Finals,1990-7-1,1,7,1990,1,0,0.0,0.0,0.0,0.0,1
England,Cameroon,Quarter Finals,1990-7-1,1,7,1990,3,2,0.0,0.0,0.0,0.0,1
Italy,Argentina,Semi Finals,1990-7-3,3,7,1990,1,1,0.0,0.0,0.0,0.0,0
Germany,Czechoslovakia,Semi Finals,1990-7-4,4,7,1990,1,1,0.0,0.0,0.0,0.0,0
Italy,England,Play-off for third place,1990-7-7,7,7,1990,2,1,0.0,0.0,0.0,0.0,1
Germany,Argentina,Finals,1990-7-8,8,7,1990,1,0,0.0,0.0,0.0,0.0,1
